feature_id,osm_id,osm_name,osm_ref,osm_fclass,entity_key,total_length_km,status,risk_level,current_high_cell_count,current_severe_cell_count,current_exposed_cell_count,current_exposed_length_km,24h_high_cell_count,24h_severe_cell_count,24h_exposed_cell_count,24h_exposed_length_km,48h_high_cell_count,48h_severe_cell_count,48h_exposed_cell_count,48h_exposed_length_km,72h_high_cell_count,72h_severe_cell_count,72h_exposed_cell_count,72h_exposed_length_km
OSM-ROAD-596066765,596066765,,,path,osm:596066765:2818,0.062,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-596066766,596066766,,,unclassified,osm:596066766:2819,0.219,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-596066767,596066767,,,service,osm:596066767:2820,0.101,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-596066778,596066778,,,unclassified,osm:596066778:2821,0.08,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1266262908,1266262908,,,service,osm:1266262908:2822,0.069,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-596066779,596066779,,,unclassified,osm:596066779:2823,0.656,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1263435675,1263435675,,,path,osm:1263435675:2824,0.085,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1258565259,1258565259,,,service,osm:1258565259:2825,0.086,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1266262907,1266262907,,,service,osm:1266262907:2826,0.073,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-596066777,596066777,,,service,osm:596066777:2827,0.137,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1258565243,1258565243,,,unclassified,osm:1258565243:2828,0.152,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1258565242,1258565242,,,service,osm:1258565242:2829,0.166,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1263438373,1263438373,,,service,osm:1263438373:2830,0.018,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1263440889,1263440889,,,service,osm:1263440889:2831,0.024,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1258565245,1258565245,,,unclassified,osm:1258565245:2832,0.088,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1258565241,1258565241,,,service,osm:1258565241:2833,0.129,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1244777680,1244777680,,,path,osm:1244777680:2834,0.014,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1244777679,1244777679,,,path,osm:1244777679:2835,0.025,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1263438374,1263438374,,,path,osm:1263438374:2836,0.065,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1263435678,1263435678,,,service,osm:1263435678:2837,0.242,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1244777681,1244777681,,,service,osm:1244777681:2838,0.08,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1244777682,1244777682,,,service,osm:1244777682:2839,0.017,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1244777683,1244777683,,,service,osm:1244777683:2840,0.027,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1258565192,1258565192,,,service,osm:1258565192:2841,0.359,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1258565206,1258565206,,,service,osm:1258565206:2842,0.055,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1258565207,1258565207,,,service,osm:1258565207:2843,0.036,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1265651920,1265651920,,,footway,osm:1265651920:2844,0.099,HIGH RISK,HIGH,2,0,2,0.099,2,0,2,0.099,2,0,2,0.099,2,0,2,0.099
OSM-ROAD-1256662802,1256662802,,,unclassified,osm:1256662802:2845,0.227,HIGH RISK,HIGH,2,0,2,0.227,2,0,2,0.227,2,0,2,0.227,2,0,2,0.227
OSM-ROAD-1226926110,1226926110,,,steps,osm:1226926110:2846,0.052,HIGH RISK,HIGH,1,0,1,0.052,1,0,1,0.052,1,0,1,0.052,1,0,1,0.052
OSM-ROAD-1258568883,1258568883,,,unclassified,osm:1258568883:2847,0.133,HIGH RISK,HIGH,1,0,1,0.133,1,0,1,0.133,1,0,1,0.133,1,0,1,0.133
OSM-ROAD-1258684297,1258684297,,,path,osm:1258684297:2848,0.113,HIGH RISK,HIGH,1,0,1,0.113,1,0,1,0.113,1,0,1,0.113,1,0,1,0.113
OSM-ROAD-1258565226,1258565226,,,unclassified,osm:1258565226:2849,0.043,HIGH RISK,HIGH,1,0,1,0.043,1,0,1,0.043,1,0,1,0.043,1,0,1,0.043
OSM-ROAD-1258565224,1258565224,,,unclassified,osm:1258565224:2850,0.172,HIGH RISK,HIGH,1,0,1,0.172,1,0,1,0.172,1,0,1,0.172,1,0,1,0.172
OSM-ROAD-1258565225,1258565225,,,unclassified,osm:1258565225:2851,0.105,HIGH RISK,HIGH,1,0,1,0.105,1,0,1,0.105,1,0,1,0.105,1,0,1,0.105
OSM-ROAD-1265651917,1265651917,,,service,osm:1265651917:2852,0.076,HIGH RISK,HIGH,1,0,1,0.076,1,0,1,0.076,1,0,1,0.076,1,0,1,0.076
